ID,condition,live_caves,ride_lions,farm_potatoes,play_banjo,look_left,clap_three,smile_sad,chug_syrup,yell_cats,go_opera,dance_fire,sing_songs,scream_windows,smell_garbage,wash_ponds,paint_hands,Ethnicity,Gender,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,trial1,trial2,trial3,trial4,trial5,trial6,trial7,trial8,trial9,trial10,trial11,trial12,trial13,trial14,trial15,trial16,trial17
1125,generic,99,100,100,100,100,100,100,100,100,100,99,99,100,100,100,100,White/Caucasian,Man (including Trans Male/Trans Man),English,55,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,dance,cave,yellow,lion,sad,opera,pond,banjo,garbage,attention I1,song,potatoes,look left,window,maple syrup,cats,clap
1126,generic,25,25,25,25,25,25,25,25,25,25,25,75,25,25,25,25,White/Caucasian,Man (including Trans Male/Trans Man),English,52,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",banjo,pond,maple syrup,garbage,sad,potatoes,look left,cats,window,clap,dance,cave,opera,lion,yellow,attention I1,song
1127,generic,3,1,30,10,25,1,5,25,30,20,50,75,35,5,15,5,White/Caucasian,Woman (including Trans Female/Trans Woman),English,53,Female,White,United States,United States,United States,English,No,Full-Time,maple syrup,sad,banjo,lion,opera,pond,window,yellow,attention I1,garbage,potatoes,dance,look left,cats,cave,song,clap
1128,generic,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,White/Caucasian,Woman (including Trans Female/Trans Woman),English,57,Female,White,United States,United States,United States,English,No,Full-Time,window,potatoes,garbage,cats,dance,clap,yellow,look left,cave,song,sad,pond,banjo,maple syrup,lion,attention I1,opera
1129,specific,10,6,26,31,10,9,11,10,1,2,20,62,5,4,61,20,White/Caucasian,Man (including Trans Male/Trans Man),English,48,Male,White,United States,United States,United States,Greek,No,Part-Time,attention I1,cats,banjo,yellow,potatoes,cave,lion,pond,maple syrup,window,clap,opera,garbage,look left,song,dance,sad
1130,baseline,75,1,5,10,50,90,10,10,1,1,95,20,5,1,25,1,Latino/Hispanic,Man (including Trans Male/Trans Man),"English, Spanish",33,Male,White,United States,United States,United States,English,No,Full-Time,cave,attention I1,look left,clap,song,maple syrup,banjo,pond,lion,dance,sad,window,yellow,garbage,potatoes,opera,cats
1131,specific,3,50,50,3,3,4,5,4,3,3,4,51,3,50,4,3,White/Caucasian,Woman (including Trans Female/Trans Woman),English,67,Female,White,United States,United States,United States,English,No,Part-Time,song,garbage,potatoes,lion,banjo,pond,opera,clap,sad,cave,maple syrup,yellow,look left,dance,cats,window,attention I1
1132,baseline,84,73,78,25,87,95,79,88,10,40,66,52,18,84,94,72,Latino/Hispanic,Man (including Trans Male/Trans Man),"English, Spanish",41,Male,White,United States,United States,United States,English,No,Full-Time,dance,look left,yellow,maple syrup,pond,cats,sad,banjo,attention I1,song,potatoes,window,clap,garbage,opera,lion,cave
1133,baseline,50,5,10,15,35,40,15,10,15,20,75,15,20,2,15,5,White/Caucasian,Man (including Trans Male/Trans Man),English,31,Male,White,United States,United States,United States,English,No,Part-Time,song,opera,yellow,look left,banjo,window,cats,clap,potatoes,pond,garbage,attention I1,sad,dance,cave,lion,maple syrup
1134,specific,50,10,50,15,50,3,5,25,25,35,25,50,25,2,85,6,White/Caucasian,Man (including Trans Male/Trans Man),English,37,Male,White,United States,United States,United States,English,Yes,Full-Time,yellow,lion,dance,maple syrup,sad,banjo,cave,attention I1,potatoes,clap,song,look left,cats,opera,pond,garbage,window
1135,generic,3,1,18,22,5,2,3,6,41,8,3,77,28,5,10,4,South Asian,Man (including Trans Male/Trans Man),"French, English",27,Male,Asian,India,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,pond,sad,song,lion,potatoes,opera,dance,attention I1,window,cats,look left,maple syrup,cave,clap,garbage,banjo,yellow
1136,baseline,7,7,30,40,40,24,63,11,14,50,50,63,18,14,26,12,Mixed,Man (including Trans Male/Trans Man),English,45,Male,Mixed,United States,United States,United States,English,No,Full-Time,opera,cats,maple syrup,look left,garbage,potatoes,attention I1,sad,pond,banjo,window,song,dance,cave,yellow,clap,lion
1137,generic,0,0,25,25,60,24,11,15,38,50,75,100,31,50,0,32,White/Caucasian,Man (including Trans Male/Trans Man),English,49,Male,White,United States,United States,United States,English,No,Full-Time,potatoes,dance,maple syrup,pond,song,cats,attention I1,garbage,sad,cave,lion,look left,banjo,yellow,opera,window,clap
1138,generic,25,88,75,94,76,50,76,40,14,11,78,95,27,36,57,88,Latino/Hispanic,Woman (including Trans Female/Trans Woman),"English, Spanish",30,Female,White,United States,United States,United States,Spanish,No,Part-Time,attention I1,lion,potatoes,maple syrup,cave,dance,opera,yellow,garbage,window,banjo,look left,sad,song,clap,pond,cats
1139,generic,75,35,35,30,25,10,75,3,3,85,10,60,20,50,90,35,White/Caucasian,Woman (including Trans Female/Trans Woman),English,45,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,potatoes,dance,maple syrup,attention I1,lion,sad,clap,window,garbage,cave,yellow,opera,pond,cats,song,banjo,look left
1140,generic,29,72,68,77,10,50,9,73,14,76,32,76,24,77,69,9,White/Caucasian,Woman (including Trans Female/Trans Woman),English,30,Female,White,United States,United States,United States,English,Yes,Part-Time,window,potatoes,dance,cats,look left,sad,yellow,clap,pond,opera,lion,maple syrup,song,garbage,attention I1,banjo,cave
1141,specific,2,2,15,16,3,5,1,2,1,9,8,94,1,4,24,1,White/Caucasian,Woman (including Trans Female/Trans Woman),English,73,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",pond,garbage,cats,cave,lion,song,attention I1,opera,potatoes,sad,dance,window,banjo,clap,maple syrup,yellow,look left
1142,specific,12,2,15,3,4,2,3,1,6,5,4,35,5,1,5,1,White/Caucasian,Woman (including Trans Female/Trans Woman),English,44,Female,White,United States,United States,United States,English,No,Part-Time,cave,window,sad,clap,look left,pond,garbage,potatoes,song,maple syrup,banjo,lion,cats,dance,attention I1,yellow,opera
1143,baseline,25,70,15,10,75,70,80,40,15,5,85,20,30,25,30,75,White/Caucasian,Man (including Trans Male/Trans Man),English,32,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",clap,garbage,sad,yellow,attention I1,banjo,cave,pond,cats,opera,window,maple syrup,look left,dance,potatoes,lion,song
1144,baseline,99,10,10,5,6,9,1,50,7,49,7,50,7,14,95,3,Mixed,Man (including Trans Male/Trans Man),"English, Spanish",42,Male,Mixed,Honduras,United States,United States,Spanish,DATA_EXPIRED,DATA_EXPIRED,maple syrup,yellow,cave,cats,garbage,banjo,potatoes,lion,sad,song,clap,attention I1,pond,window,dance,look left,opera
1145,baseline,30,15,55,25,70,50,75,65,10,45,35,60,5,15,40,40,White/Caucasian,Man (including Trans Male/Trans Man),"English, German",56,Male,White,Germany,United States,United States,German,No,Unemployed (and job seeking),potatoes,cave,banjo,yellow,maple syrup,opera,lion,dance,window,attention I1,garbage,clap,sad,cats,look left,song,pond
1146,generic,25,25,75,50,0,75,75,0,60,50,50,50,50,25,90,75,Latino/Hispanic,Man (including Trans Male/Trans Man),"English, Spanish",57,Male,White,Cuba,United States,United States,English,DATA_EXPIRED,Full-Time,dance,cave,lion,maple syrup,look left,garbage,attention I1,sad,banjo,clap,cats,potatoes,pond,yellow,window,opera,song
1147,generic,100,2,100,100,50,100,11,100,10,25,100,100,16,100,100,100,White/Caucasian,Woman (including Trans Female/Trans Woman),English,67,Female,White,United States,United States,United States,English,No,Part-Time,garbage,look left,yellow,clap,song,banjo,maple syrup,attention I1,sad,cave,lion,potatoes,cats,window,pond,dance,opera
1148,generic,80,70,75,75,85,99,76,83,68,67,92,75,79,82,75,81,White/Caucasian,Man (including Trans Male/Trans Man),English,42,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",clap,pond,look left,window,potatoes,attention I1,garbage,banjo,lion,cave,cats,sad,song,opera,maple syrup,yellow,dance
1149,specific,2,1,10,15,33,2,15,3,10,20,5,50,5,2,5,2,White/Caucasian,Man (including Trans Male/Trans Man),English,44,Male,White,United States,United States,United States,English,No,Full-Time,window,yellow,attention I1,opera,sad,dance,garbage,lion,potatoes,look left,song,cats,clap,pond,maple syrup,banjo,cave
1150,baseline,7,1,24,8,50,3,4,6,10,50,11,90,9,0,15,4,White/Caucasian,Woman (including Trans Female/Trans Woman),English,32,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),sad,opera,look left,pond,potatoes,maple syrup,lion,dance,attention I1,garbage,yellow,cats,cave,song,window,clap,banjo
1151,baseline,64,90,66,66,64,83,80,74,68,70,62,59,79,69,75,77,White/Caucasian,Man (including Trans Male/Trans Man),English,34,Male,White,United States,United States,United States,English,No,Full-Time,sad,attention I1,lion,window,maple syrup,song,banjo,opera,yellow,garbage,look left,dance,cave,cats,clap,pond,potatoes
1152,baseline,43,9,37,25,29,50,50,75,37,10,88,29,50,8,63,38,South East Asian,Woman (including Trans Female/Trans Woman),"English, Spanish",26,Female,Asian,United States,United States,United States,Other,No,Other,maple syrup,garbage,window,potatoes,banjo,cave,clap,song,look left,lion,dance,yellow,pond,attention I1,sad,cats,opera
1153,specific,64,75,100,75,25,37,50,12,4,8,100,100,3,1,53,50,White/Caucasian,Woman (including Trans Female/Trans Woman),English,64,Female,White,United States,United States,United States,English,No,Full-Time,opera,attention I1,maple syrup,pond,garbage,cats,sad,look left,clap,yellow,window,cave,lion,song,banjo,potatoes,dance
1154,specific,3,1,6,4,12,2,5,8,2,8,4,11,5,3,50,1,White/Caucasian,Man (including Trans Male/Trans Man),English,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,attention I1,sad,cave,banjo,cats,maple syrup,pond,garbage,look left,potatoes,window,clap,lion,dance,yellow,opera,song
1155,generic,37,11,46,100,14,64,14,61,32,64,47,39,31,1,56,64,White/Caucasian,Man (including Trans Male/Trans Man),"English, French, German",27,Male,White,United States,United States,United States,English,Yes,Part-Time,cats,lion,pond,clap,song,attention I1,yellow,sad,maple syrup,look left,cave,opera,banjo,potatoes,garbage,dance,window
1156,baseline,63,59,65,76,98,67,68,70,69,94,73,62,75,83,61,81,South East Asian,Man (including Trans Male/Trans Man),English,21,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,dance,sad,maple syrup,potatoes,attention I1,garbage,yellow,banjo,cats,cave,opera,clap,look left,lion,song,pond,window
1157,specific,65,20,39,26,39,49,47,57,29,32,45,64,43,36,43,54,Latino/Hispanic,Woman (including Trans Female/Trans Woman),"English, Spanish",23,Female,Other,United States,United States,United States,English,No,Part-Time,cats,clap,banjo,opera,window,potatoes,cave,attention I1,yellow,maple syrup,sad,dance,garbage,look left,lion,song,pond
1158,specific,5,2,3,5,5,5,7,6,0,10,11,25,1,1,7,2,White/Caucasian,Woman (including Trans Female/Trans Woman),English,55,Female,White,United States,United States,United States,English,No,Full-Time,yellow,garbage,opera,attention I1,clap,pond,lion,cats,maple syrup,banjo,cave,song,look left,sad,potatoes,dance,window
1159,specific,13,1,24,10,17,6,6,7,9,16,24,61,3,2,1,5,White/Caucasian,Woman (including Trans Female/Trans Woman),English,38,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,clap,look left,banjo,garbage,attention I1,dance,cave,song,potatoes,sad,window,opera,cats,pond,lion,maple syrup,yellow
1160,specific,18,1,68,55,19,1,1,5,2,46,36,69,3,1,6,2,White/Caucasian,Woman (including Trans Female/Trans Woman),English,46,Female,White,United States,United States,United States,English,No,Full-Time,song,banjo,garbage,pond,attention I1,clap,cats,window,lion,look left,sad,maple syrup,yellow,cave,potatoes,dance,opera
1161,generic,55,35,52,36,40,55,50,66,49,32,70,49,76,48,46,52,White/Caucasian,Man (including Trans Male/Trans Man),English,33,Male,White,United States,United States,United States,English,No,Full-Time,sad,clap,lion,banjo,potatoes,window,look left,cats,garbage,cave,opera,dance,maple syrup,song,yellow,attention I1,pond
1162,generic,70,60,50,35,50,90,60,65,30,50,85,90,75,25,75,40,White/Caucasian,Man (including Trans Male/Trans Man),English,27,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),sad,cave,pond,banjo,song,maple syrup,opera,dance,attention I1,potatoes,clap,garbage,yellow,look left,window,cats,lion
1163,generic,75,5,10,10,25,25,25,25,25,50,75,80,10,50,50,25,Black/African American,Woman (including Trans Female/Trans Woman),English,70,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",potatoes,attention I1,window,lion,maple syrup,sad,pond,yellow,garbage,cats,cave,opera,banjo,clap,dance,song,look left
1164,generic,56,8,46,51,66,29,66,23,37,60,25,71,24,36,69,26,White/Caucasian,Man (including Trans Male/Trans Man),English,27,Male,White,United States,United States,United States,English,No,Part-Time,pond,song,banjo,sad,clap,potatoes,lion,window,opera,dance,yellow,attention I1,maple syrup,cats,look left,garbage,cave
1165,generic,17,21,70,25,38,51,64,50,25,30,80,77,18,31,50,76,White/Caucasian,Man (including Trans Male/Trans Man),English,50,Male,White,United States,United States,United States,English,No,Part-Time,maple syrup,potatoes,garbage,pond,cats,look left,yellow,dance,attention I1,lion,clap,window,opera,sad,cave,banjo,song
1166,generic,60,45,60,40,65,75,75,35,15,65,35,85,25,25,20,60,White/Caucasian,Woman (including Trans Female/Trans Woman),English,29,Female,White,United States,United States,United States,English,No,Part-Time,opera,cats,yellow,clap,look left,potatoes,window,song,lion,cave,dance,banjo,maple syrup,garbage,attention I1,pond,sad
1167,specific,15,1,25,25,1,2,10,1,25,2,75,26,1,1,25,1,Black/African American,Woman (including Trans Female/Trans Woman),English,31,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",attention I1,clap,yellow,maple syrup,window,opera,potatoes,lion,song,sad,look left,pond,garbage,cats,banjo,cave,dance
1168,specific,11,33,33,34,64,86,38,3,16,32,37,42,26,5,84,17,Latino/Hispanic,Non-binary (would like to give more detail),English,23,Female,Other,United States,United States,United States,English,No,Unemployed (and job seeking),clap,window,garbage,cats,dance,song,opera,look left,pond,yellow,lion,attention I1,banjo,cave,sad,maple syrup,potatoes
1169,baseline,10,41,35,31,7,59,39,61,21,35,48,67,30,15,39,28,White/Caucasian,Man (including Trans Male/Trans Man),English,23,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),pond,dance,opera,cats,maple syrup,sad,clap,song,window,garbage,lion,look left,cave,banjo,potatoes,yellow,attention I1
1170,baseline,66,24,58,33,7,12,24,20,25,26,50,79,43,6,40,19,East Asian,Woman (including Trans Female/Trans Woman),English,21,Female,Asian,United States,United States,United States,Chinese,Yes,Part-Time,opera,yellow,cave,song,sad,lion,cats,garbage,dance,look left,maple syrup,clap,attention I1,banjo,potatoes,pond,window
1171,specific,43,25,75,7,50,83,50,65,25,34,90,50,50,37,84,67,White/Caucasian,Woman (including Trans Female/Trans Woman),English,22,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED,attention I1,look left,cats,window,maple syrup,garbage,yellow,dance,cave,sad,clap,pond,potatoes,lion,song,opera,banjo
1172,specific,10,6,25,8,33,24,5,10,9,7,4,5,10,2,11,5,White/Caucasian,Man (including Trans Male/Trans Man),English,30,Male,White,United States,United States,United States,English,No,Part-Time,yellow,song,lion,potatoes,attention I1,pond,window,garbage,cave,maple syrup,sad,opera,look left,banjo,cats,dance,clap
1173,specific,60,17,53,63,32,25,26,77,11,66,55,85,20,16,88,71,Black/African American,Woman (including Trans Female/Trans Woman),English,48,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,sad,maple syrup,potatoes,clap,cave,attention I1,yellow,pond,cats,garbage,dance,opera,look left,window,song,banjo,lion
1174,specific,5,1,3,7,5,5,1,6,8,2,55,10,30,3,40,20,White/Caucasian,Man (including Trans Male/Trans Man),English,39,Male,White,United States,United States,United States,English,No,Full-Time,window,attention I1,potatoes,song,dance,opera,cats,yellow,clap,lion,pond,cave,maple syrup,banjo,look left,garbage,sad
1175,generic,40,25,25,80,50,90,75,45,85,90,55,95,50,30,60,55,South East Asian,Woman (including Trans Female/Trans Woman),"Khmer, English",21,Female,Asian,United States,United States,United States,English,Yes,Unemployed (and job seeking),sad,potatoes,cave,dance,attention I1,cats,lion,yellow,opera,song,clap,banjo,garbage,pond,window,look left,maple syrup
1176,specific,95,5,85,8,50,95,50,5,15,40,80,90,50,17,10,2,White/Caucasian,Man (including Trans Male/Trans Man),English,49,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,banjo,dance,cats,sad,attention I1,lion,potatoes,maple syrup,cave,opera,pond,yellow,window,look left,song,clap,garbage
1177,generic,9,7,71,76,76,15,99,86,2,3,92,84,67,0,100,41,White/Caucasian,Woman (including Trans Female/Trans Woman),English,44,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,look left,garbage,yellow,sad,maple syrup,window,potatoes,clap,pond,song,attention I1,cave,banjo,lion,opera,cats,dance
1178,specific,2,1,5,8,3,75,10,3,5,4,20,33,10,1,35,1,White/Caucasian,Non-binary (would like to give more detail),"English, Spanish",22,Male,White,United States,United States,United States,English,No,Part-Time,potatoes,lion,opera,song,yellow,look left,garbage,cave,maple syrup,dance,cats,window,pond,clap,banjo,attention I1,sad
1179,baseline,40,8,16,19,44,16,37,16,5,35,67,18,12,24,24,40,East Asian,Woman (including Trans Female/Trans Woman),"English, Chinese",21,Female,Asian,Taiwan,United States,United States,Chinese,Yes,Unemployed (and job seeking),yellow,garbage,opera,window,dance,potatoes,attention I1,sad,maple syrup,pond,look left,cave,song,cats,lion,clap,banjo
1180,baseline,75,1,35,5,25,85,25,45,5,10,95,60,10,75,90,75,White/Caucasian,Man (including Trans Male/Trans Man),English,31,Male,White,United States,United States,United States,English,No,Other,pond,look left,cave,lion,song,clap,attention I1,yellow,banjo,sad,garbage,dance,maple syrup,window,potatoes,cats,opera
1181,baseline,3,0,30,2,0,0,0,0,40,60,1,40,5,0,15,0,White/Caucasian,Woman (including Trans Female/Trans Woman),English,60,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",window,banjo,maple syrup,lion,opera,dance,song,attention I1,garbage,clap,pond,potatoes,cave,sad,yellow,cats,look left
1182,generic,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,Latino/Hispanic,Man (including Trans Male/Trans Man),English,29,Male,White,United States,United States,United States,English,No,Full-Time,opera,attention I1,song,window,look left,pond,yellow,banjo,clap,cats,potatoes,lion,cave,garbage,maple syrup,sad,dance
1183,specific,90,51,85,23,3,11,10,10,10,6,1,91,5,82,26,12,Latino/Hispanic,Woman (including Trans Female/Trans Woman),English,25,Female,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking),lion,sad,attention I1,potatoes,banjo,opera,cave,clap,window,song,garbage,cats,pond,look left,dance,yellow,maple syrup
1184,baseline,42,9,26,24,30,75,25,18,32,32,72,24,8,6,51,24,White/Caucasian,Woman (including Trans Female/Trans Woman),English,30,Female,White,United States,United States,United States,English,No,Full-Time,song,look left,opera,yellow,lion,cave,banjo,window,garbage,pond,cats,clap,potatoes,sad,maple syrup,dance,attention I1
1185,generic,8,4,10,32,100,84,83,37,88,20,44,75,67,60,92,29,White/Caucasian,Man (including Trans Male/Trans Man),English,71,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",look left,banjo,clap,yellow,window,pond,song,potatoes,dance,cats,cave,maple syrup,garbage,sad,lion,attention I1,opera
1186,baseline,2,16,13,20,2,20,7,2,2,12,50,8,10,7,5,12,Black/African American,Woman (including Trans Female/Trans Woman),English,35,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,banjo,dance,window,garbage,clap,sad,pond,cats,opera,look left,potatoes,attention I1,lion,song,cave,maple syrup,yellow
1187,generic,6,25,50,75,50,100,24,92,25,100,100,100,100,11,100,90,White/Caucasian,Man (including Trans Male/Trans Man),English,24,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking),cats,maple syrup,window,clap,banjo,sad,potatoes,cave,song,look left,dance,attention I1,yellow,lion,opera,garbage,pond
1188,specific,21,12,44,37,38,7,41,25,10,40,9,43,18,7,41,20,South East Asian,Woman (including Trans Female/Trans Woman),"Dutch, English",26,Female,Asian,Netherlands,United States,United States,Dutch,No,Unemployed (and job seeking),maple syrup,sad,cats,attention I1,garbage,cave,song,lion,look left,opera,banjo,clap,dance,window,pond,potatoes,yellow
1189,generic,35,15,32,25,23,38,56,90,11,74,50,75,25,10,62,38,White/Caucasian,Man (including Trans Male/Trans Man),English,54,Male,White,United States,United States,United States,English,No,Part-Time,attention I1,maple syrup,window,dance,banjo,song,potatoes,lion,cave,pond,cats,garbage,opera,clap,sad,yellow,look left
1190,specific,24,5,42,26,39,1,1,82,2,50,25,23,6,2,49,15,White/Caucasian,Woman (including Trans Female/Trans Woman),English,32,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,attention I1,cats,garbage,sad,pond,yellow,cave,clap,opera,look left,dance,banjo,window,maple syrup,song,lion,potatoes
1191,specific,66,24,50,37,87,61,10,63,33,36,49,50,65,61,50,15,Black/African American,Woman (including Trans Female/Trans Woman),English,20,Female,Black,United States,United States,United States,English,Yes,Part-Time,song,dance,attention I1,maple syrup,pond,window,cats,banjo,look left,clap,garbage,cave,yellow,sad,potatoes,opera,lion
1192,baseline,100,23,36,20,5,4,11,4,5,13,36,25,5,4,100,100,White/Caucasian,Man (including Trans Male/Trans Man),English,62,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",lion,attention I1,pond,song,window,sad,banjo,cats,potatoes,maple syrup,opera,look left,clap,yellow,garbage,cave,dance
1193,generic,3,5,50,15,20,25,40,2,1,4,25,60,5,10,55,10,White/Caucasian,Woman (including Trans Female/Trans Woman),English,68,Female,White,United States,United States,United States,English,No,Full-Time,clap,lion,potatoes,attention I1,window,dance,opera,pond,garbage,song,sad,yellow,banjo,cats,cave,maple syrup,look left
1194,generic,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,East Asian,Woman (including Trans Female/Trans Woman),English,22,Female,Asian,United States,United States,United States,English,Yes,DATA_EXPIRED,window,attention I1,pond,yellow,sad,opera,clap,maple syrup,cave,cats,potatoes,song,garbage,banjo,dance,lion,look left
